date_time,maxtempC,tmean90,tmean,tmean_3D,Excess_Heat_Index,Heat_Stress,Excess_Heat_Factor,Heat_Condition,Heat_Wave
2022-11-01,33,34.0,26.5,26.833333333333332,-5.166666666666668,25.912222222222223,-133.87981481481484,0,False
2022-11-02,34,34.0,26.5,26.666666666666668,-5.333333333333332,25.746111111111112,-137.31259259259258,0,False
2022-11-03,35,34.6,27.5,26.833333333333332,-5.166666666666668,25.91333333333333,-133.88555555555558,0,False
2022-11-04,35,35.0,27.5,27.166666666666668,-4.833333333333332,26.247222222222224,-126.86157407407406,0,False
2022-11-05,35,35.0,27.5,27.5,-4.5,26.581666666666667,-119.6175,0,False
2022-11-06,35,35.0,27.0,27.333333333333332,-4.666666666666668,26.415555555555553,-123.27259259259262,0,False
2022-11-07,35,35.0,27.5,27.333333333333332,-4.666666666666668,26.416666666666664,-123.2777777777778,0,False
2022-11-08,35,35.0,28.0,27.5,-4.5,26.583333333333332,-119.625,0,False
2022-11-09,35,35.0,29.0,28.166666666666668,-3.833333333333332,27.24888888888889,-104.45407407407404,0,False
2022-11-10,35,35.0,28.0,28.333333333333332,-3.666666666666668,27.41444444444444,-100.51962962962965,0,False
2022-11-11,35,35.0,27.5,28.166666666666668,-3.833333333333332,27.247222222222224,-104.44768518518516,0,False
2022-11-12,34,35.0,27.5,27.666666666666668,-4.333333333333332,26.74555555555556,-115.89740740740739,0,False
2022-11-13,35,35.0,28.0,27.666666666666668,-4.333333333333332,26.746111111111112,-115.89981481481479,0,False
2022-11-14,35,35.0,27.5,27.666666666666668,-4.333333333333332,26.745,-115.89499999999997,0,False
2022-11-15,35,35.0,28.5,28.0,-4.0,27.079444444444444,-108.31777777777778,0,False
2022-11-16,35,35.0,28.0,28.0,-4.0,27.07888888888889,-108.31555555555556,0,False
2022-11-17,35,35.0,27.5,28.0,-4.0,27.08,-108.32,0,False
2022-11-18,34,35.0,26.5,27.333333333333332,-4.666666666666668,26.41333333333333,-123.26222222222223,0,False
2022-11-19,33,35.0,26.0,26.666666666666668,-5.333333333333332,25.747222222222224,-137.3185185185185,0,False
2022-11-20,32,35.0,25.0,25.833333333333332,-6.166666666666668,24.91444444444444,-153.63907407407407,0,False
2022-11-21,32,34.6,24.5,25.166666666666668,-6.833333333333332,24.249444444444446,-165.70453703703703,0,False
2022-11-22,33,33.6,25.0,24.833333333333332,-7.166666666666668,23.919444444444444,-171.4226851851852,0,False
2022-11-23,33,33.0,26.5,25.333333333333332,-6.666666666666668,24.424444444444443,-162.82962962962966,0,False
2022-11-24,35,34.2,28.0,26.5,-5.5,25.59611111111111,-140.7786111111111,0,False
2022-11-25,35,35.0,28.0,27.5,-4.5,26.59888888888889,-119.69500000000001,0,False
2022-11-26,35,35.0,29.0,28.333333333333332,-3.666666666666668,27.432777777777776,-100.58685185185188,0,False
2022-11-27,34,35.0,28.5,28.5,-3.5,27.598333333333333,-96.59416666666667,0,False
2022-11-28,34,35.0,28.0,28.5,-3.5,27.596666666666668,-96.58833333333334,0,False
2022-11-29,34,35.0,27.0,27.833333333333332,-4.166666666666668,26.92722222222222,-112.19675925925928,0,False
2022-11-30,35,35.0,28.0,27.666666666666668,-4.333333333333332,26.758333333333333,-115.95277777777774,0,False
2022-12-01,34,34.6,27.0,27.333333333333332,-4.666666666666668,26.42388888888889,-123.31148148148152,0,False
2022-12-02,35,35.0,27.5,27.5,-4.5,26.590555555555554,-119.6575,0,False
2022-12-03,35,35.0,27.5,27.333333333333332,-4.666666666666668,26.422777777777778,-123.30629629629632,0,False
2022-12-04,35,35.0,29.0,28.0,-4.0,27.08888888888889,-108.35555555555555,0,False
2022-12-05,35,35.0,29.0,28.5,-3.5,27.587777777777777,-96.55722222222222,0,False
2022-12-06,35,35.0,29.5,29.166666666666668,-2.833333333333332,28.254444444444445,-80.05425925925923,0,False
2022-12-07,35,35.0,29.0,29.166666666666668,-2.833333333333332,28.25277777777778,-80.04953703703701,0,False
2022-12-08,34,35.0,27.5,28.666666666666668,-3.333333333333332,27.75111111111111,-92.50370370370368,0,False
2022-12-09,33,35.0,25.5,27.333333333333332,-4.666666666666668,26.415,-123.27000000000002,0,False
2022-12-10,34,35.0,25.5,26.166666666666668,-5.833333333333332,25.246666666666666,-147.27222222222218,0,False
2022-12-11,33,34.6,26.0,25.666666666666668,-6.333333333333332,24.747222222222224,-156.73240740740738,0,False
2022-12-12,28,34.0,25.0,25.5,-6.5,24.584444444444443,-159.79888888888888,0,False
2022-12-13,34,34.0,29.0,26.666666666666668,-5.333333333333332,25.75388888888889,-137.35407407407405,0,False
2022-12-14,34,34.0,29.5,27.833333333333332,-4.166666666666668,26.92222222222222,-112.17592592592595,0,False
2022-12-15,34,34.0,29.0,29.166666666666668,-2.833333333333332,28.258333333333333,-80.06527777777774,0,False
2022-12-16,36,35.2,30.0,29.5,-2.5,28.590555555555554,-71.47638888888889,0,False
2022-12-17,36,36.0,30.0,29.666666666666668,-2.333333333333332,28.755000000000003,-67.09499999999997,0,False
2022-12-18,36,36.0,30.0,30.0,-2.0,29.087777777777777,-58.175555555555555,0,False
2022-12-19,36,36.0,29.5,29.833333333333332,-2.166666666666668,28.918888888888887,-62.65759259259262,0,False
2022-12-20,35,36.0,28.0,29.166666666666668,-2.833333333333332,28.249444444444446,-80.04009259259256,0,False
2022-12-21,35,36.0,27.5,28.333333333333332,-3.666666666666668,27.412222222222223,-100.51148148148151,0,False
2022-12-22,35,36.0,28.0,27.833333333333332,-4.166666666666668,26.90833333333333,-112.11805555555559,0,False
2022-12-23,33,35.6,27.0,27.5,-4.5,26.571666666666665,-119.57249999999999,0,False
2022-12-24,33,35.0,25.0,26.666666666666668,-5.333333333333332,25.735,-137.2533333333333,0,False
2022-12-25,31,35.0,23.5,25.166666666666668,-6.833333333333332,24.23166666666667,-165.58305555555555,0,False
2022-12-26,32,34.2,25.0,24.5,-7.5,23.564444444444444,-176.73333333333332,0,False
